统计周,APP日均DAU,回收入口UV,聚合回收渗透率,聚合回收真实渗透率
2025-W52,3405610,671386,9.41%,6.51%
2026-W01,3469028,656664,9.40%,6.46%
2026-W02,3400632,670547,9.92%,6.88%
2026-W03,3519067,692856,9.77%,6.86%
2026-W04,3496355,689222,10.04%,7.07%
2026-W05,3601648,715130,9.92%,6.85%
2026-W06,3521384,673900,9.66%,6.55%
2026-W07,3445037,620700,8.61%,5.89%
2026-W08,4467126,779863,7.46%,5.30%
2026-W09,4976413,1096778,10.45%,7.50%
2026-W10,4220156,916216,10.42%,7.06%
2026-W11,4085380,859904,10.65%,7.40%
2026-W12,3956053,847869,10.67%,7.47%
2026-W13,3814510,839420,10.55%,7.42%
2026-W14,3705291,785724,10.81%,7.52%
2026-W15,3588729,752298,11.10%,7.69%
2026-W16,3589224,733018,11.53%,8.42%
2026-W17,3538818,720608,10.73%,7.70%
2026-W18,3657105,692830,10.41%,7.35%
2026-W19,3606663,708092,10.87%,7.71%
2026-W20,3786405,799910,10.33%,7.39%
2026-W21,3739871,796116,10.70%,7.62%
2026-W22,3738399,763698,10.62%,7.48%
2026-W23,3926228,786896,10.51%,7.47%
2026-W24,3965219,842130,9.62%,6.87%
2026-W25,3882300,758578,10.94%,7.81%
2026-W26,3928352,758955,10.49%,7.46%
2026-W27,3859036,758687,10.07%,7.25%
2026-W28,3738062,742741,10.17%,7.43%
2026-W29,3850569,759995,10.35%,
